,Empid,projectName,projectType,Tech_stack,startDate,endDate,role,Status
0,Emp_0,DataSync,Data Analyzer,"['Scrum', 'Product Management', 'Flask', 'PostgreSQL']",2003-08-14,2024-05-03,Technical Writer,Approved
1,Emp_0,Streamline Solutions CRM,Sales Forecasting Software,"['Agile Methodologies', 'SQL', 'Swift', 'CI/CD']",2007-01-11,2024-04-16,Quality Assurance Engineer,Approved
2,Emp_0,CodeCraft Web Builder,Event Management Software,"['Python', 'Wireframing', 'NoSQL', 'Node.js']",2002-08-25,2024-04-23,Developer,Pending
3,Emp_0,SilverLinx POS System,Fleet Management System,"['Test-Driven Development', 'Requirements Analysis', 'Behavior-Driven Development', 'Ruby']",1973-03-26,2024-04-28,Data Scientist,Pending
4,Emp_1,DataCraft,Virtual Assistant,"['React', 'Data Science', 'NoSQL', 'Python']",1972-03-18,2024-04-16,Machine Learning Engineer,Pending
5,Emp_1,ByteBoost,Supply Chain Management Software,"['Product Management', 'Git', 'React', 'RESTful API']",2021-05-19,2024-05-02,Network Engineer,Pending
6,Emp_1,LogicLane Project Tracker,Ticketing System,"['Penetration Testing', 'Product Management', 'Containerization', 'Behavior-Driven Development']",2016-04-23,2024-04-27,Technical Writer,Approved
7,Emp_1,DataWave,Task Management Tool,"['MySQL', 'Docker', 'Cryptography', 'Data Visualization']",2004-09-15,2024-04-07,Database Administrator,Approved
8,Emp_2,CyberTech,Healthcare Management System,"['Communication', 'React', 'Kotlin', 'Data Visualization']",1973-06-19,2024-04-26,Automation Tester,Pending
9,Emp_2,VortexVision Virtual Assistant,Time Tracking Tool,"['Agile Methodologies', 'Behavior-Driven Development', 'RESTful API', 'Angular']",1979-11-24,2024-04-14,Machine Learning Engineer,Pending
10,Emp_2,CodeCraft,Dashboard Creator,"['Vue.js', 'User Research', 'MySQL', 'Flask']",2023-08-05,2024-05-05,Business Analyst,Pending
11,Emp_2,DataForge Dashboard Creator,Appointment Scheduling Software,"['Business Analysis', 'MySQL', 'User Research', 'DevOps']",2009-04-23,2024-04-26,Cloud Solutions Architect,Pending
12,Emp_3,PixelPlex Crypto Trader,Inventory Management System,"['User Research', 'Support', 'SQL', 'Penetration Testing']",2014-09-10,2024-05-03,Configuration Manager,Approved
13,Emp_3,TechTrek Data Analyzer,Survey Software,"['Flask', 'Git', 'Information Security', 'Accessibility']",1994-09-20,2024-04-27,Network Engineer,Approved
14,Emp_3,DataLink Inventory Tracker,Educational Software,"['Swift', 'Ruby', 'MongoDB', 'Accessibility']",2021-12-21,2024-04-28,Technical Writer,Pending
15,Emp_3,NexGen Mobile Scheduler,CRM System,"['Swift', 'PostgreSQL', 'Scrum', 'Network Security']",1973-05-31,2024-04-13,Project Manager,Approved
16,Emp_4,SwiftShift Time Tracker,Human Resource Management System,"['User Research', 'Azure', 'Docker', 'Continuous Deployment']",1974-11-12,2024-04-27,Artificial Intelligence Engineer,Approved
17,Emp_4,TechNova Backup Solution,Virtual Assistant,"['Kubernetes', 'Azure', 'Problem Solving', 'Django']",2019-11-11,2024-04-29,Configuration Manager,Pending
18,Emp_4,LogicLane Project Tracker,POS System,"['Communication', 'Data Visualization', 'Microservices', 'Continuous Integration']",1990-11-08,2024-04-18,Technical Writer,Approved
19,Emp_4,CyberLink,Desktop Software,"['NoSQL', 'Collaboration', 'Artificial Intelligence', 'Continuous Integration']",1981-05-05,2024-04-27,Designer,Approved
20,Emp_5,CyberCode Online Store,E-commerce Platform,"['JavaScript', 'Troubleshooting', 'Kubernetes', 'Problem Solving']",1982-11-17,2024-04-23,Technical Architect,Approved
